date,entries
2019-01-01,5551.916467780429
2019-01-02,11660.535885167465
2019-01-03,12711.538277511961
2019-01-04,12677.760191846523
2019-01-05,6840.732696897375
2019-01-06,5619.599045346062
2019-01-07,11926.397619047619
2019-01-08,12671.785202863963
2019-01-09,13053.423444976077
2019-01-10,13071.028708133972
2019-01-11,12806.877990430621
2019-01-12,7114.20190023753
2019-01-13,5387.147268408551
2019-01-14,11865.171021377671
2019-01-15,12855.719047619048
2019-01-16,13090.054761904761
2019-01-17,13199.74940334129
2019-01-18,12583.169451073985
2019-01-19,7058.314285714286
2019-01-20,4886.0690476190475
2019-01-21,5983.105011933174
2019-01-22,11619.095238095239
2019-01-23,12765.647619047619
2019-01-24,12451.059523809523
2019-01-25,12872.531100478469
2019-01-26,7533.327014218009
2019-01-27,5690.727488151659
2019-01-28,12020.654028436018
2019-01-29,13147.120853080569
2019-01-30,13050.090261282661
2019-01-31,11676.31591448931
2019-02-01,12491.497619047619
2019-02-02,7201.88836104513
2019-02-03,5559.777251184834
2019-02-04,12306.879146919431
2019-02-05,12671.362559241707
2019-02-06,13597.336492890996
2019-02-07,13572.8432304038
2019-02-08,13419.028503562946
2019-02-09,7580.40047393365
2019-02-10,5657.912322274881
2019-02-11,12347.82701421801
2019-02-12,12014.900473933649
2019-02-13,13268.310426540284
2019-02-14,13765.862559241707
2019-02-15,13070.780952380952
2019-02-16,7615.644549763033
2019-02-17,5956.9928909952605
2019-02-18,7236.260663507109
2019-02-19,12003.417061611375
2019-02-20,12279.106888361046
2019-02-21,12638.342857142858
2019-02-22,12745.484486873509
2019-02-23,7456.919431279621
2019-02-24,5375.59952606635
2019-02-25,12154.635071090048
2019-02-26,13277.405213270142
2019-02-27,13390.755344418052
2019-02-28,13612.182897862232
2019-03-01,13296.211904761905
2019-03-02,7270.440758293839
2019-03-03,5841.246445497631
2019-03-04,9796.808056872038
2019-03-05,13307.826603325415
2019-03-06,13727.451306413303
2019-03-07,13741.745843230403
2019-03-08,13590.327790973872
2019-03-09,8010.395734597157
2019-03-10,5789.026066350711
2019-03-11,12856.805687203792
2019-03-12,13719.77962085308
2019-03-13,13859.850710900473
2019-03-14,13829.72037914692
2019-03-15,13541.007125890736
2019-03-16,7985.715639810426
2019-03-17,6191.8483412322275
2019-03-18,12588.144549763034
2019-03-19,13423.978622327792
2019-03-20,13676.878859857483
2019-03-21,13391.152019002375
2019-03-22,13079.9
2019-03-23,7656.874109263658
2019-03-24,6110.028503562945
2019-03-25,12668.655581947743
2019-03-26,13538.387173396675
2019-03-27,13730.698337292162
2019-03-28,13913.366666666667
2019-03-29,13462.252380952381
2019-03-30,8081.313539192399
2019-03-31,5883.855106888361
2019-04-01,12895.838479809976
2019-04-02,13768.472684085511
2019-04-03,14033.857482185273
2019-04-04,14068.282660332541
2019-04-05,13722.563549160672
2019-04-06,8326.318289786223
2019-04-07,6447.926365795724
2019-04-08,12890.560570071259
2019-04-09,13779.4703087886
2019-04-10,13931.736342042755
2019-04-11,13950.197149643705
2019-04-12,13603.37619047619
2019-04-13,8282.567695961996
2019-04-14,6345.954761904762
2019-04-15,12940.988095238095
2019-04-16,14001.443914081146
2019-04-17,14246.355608591886
2019-04-18,14020.124105011933
2019-04-19,11584.72901678657
2019-04-20,7334.323040380047
2019-04-21,5889.731591448931
2019-04-22,11623.513064133016
2019-04-23,12846.042857142857
2019-04-24,13011.348448687351
2019-04-25,13171.054892601433
2019-04-26,12234.231503579953
2019-04-27,7991.79809976247
2019-04-28,6269.845605700712
2019-04-29,12965.147268408551
2019-04-30,13634.030952380952
2019-05-01,13952.290476190476
2019-05-02,14049.386634844868
2019-05-03,13757.262529832935
2019-05-04,8204.25890736342
2019-05-05,6066.311163895487
2019-05-06,13018.781472684086
2019-05-07,13825.318289786223
2019-05-08,13946.465558194774
2019-05-09,14032.192399049882
2019-05-10,13395.767220902613
2019-05-11,8344.346793349168
2019-05-12,5416.375296912114
2019-05-13,12720.187648456056
2019-05-14,13765.296912114014
2019-05-15,14011.904988123515
2019-05-16,14163.351543942992
2019-05-17,13782.89786223278
2019-05-18,8444.881235154395
2019-05-19,6670.313539192399
2019-05-20,13057.066508313539
2019-05-21,13943.895486935868
2019-05-22,14156.900237529691
2019-05-23,13769.304761904761
2019-05-24,13031.804761904761
2019-05-25,7563.608076009501
2019-05-26,6358.529691211402
2019-05-27,6282.916864608076
2019-05-28,12775.950118764846
2019-05-29,13712.885985748218
2019-05-30,13714.351543942992
2019-05-31,13585.282660332541
2019-06-01,7968.767220902613
2019-06-02,6405.152019002376
2019-06-03,12920.199524940617
2019-06-04,13106.140142517816
2019-06-05,13828.04513064133
2019-06-06,13565.676959619952
2019-06-07,13507.947494033413
2019-06-08,8301.874407582938
2019-06-09,6543.898104265403
2019-06-10,12472.990521327014
2019-06-11,13445.215639810427
2019-06-12,14096.256532066509
2019-06-13,13780.7
2019-06-14,13595.484486873509
2019-06-15,8077.8483412322275
2019-06-16,5992.026066350711
2019-06-17,12680.542654028435
2019-06-18,13396.357819905214
2019-06-19,13645.509478672986
2019-06-20,13558.68009478673
2019-06-21,13211.357819905214
2019-06-22,8164.376777251185
2019-06-23,6618.199052132702
2019-06-24,12679.872037914693
2019-06-25,13144.86018957346
2019-06-26,13837.957345971565
2019-06-27,13518.156398104265
2019-06-28,13087.341232227489
2019-06-29,7969.248815165877
2019-06-30,7353.225118483412
2019-07-01,12393.855450236966
2019-07-02,12714.481042654028
2019-07-03,12550.158767772511
2019-07-04,6630.463182897863
2019-07-05,9468.771971496437
